table_name,column_name,dtype,checkpoint
summary_mgra,HHWork_3Plus_control,int32,summarize
summary_mgra,HHChild_0_control,int32,summarize
summary_mgra,HHChild_1Plus_control,int32,summarize
summary_mgra,Male_control,int32,summarize
summary_mgra,Female_control,int32,summarize
summary_mgra,Age_LT5_control,int32,summarize
summary_mgra,Age_5to9_control,int32,summarize
summary_mgra,Age_10to14_control,int32,summarize
summary_mgra,Age_15to17_control,int32,summarize
summary_mgra,Age_18to24_control,int32,summarize
summary_mgra,Age_25to34_control,int32,summarize
summary_mgra,Age_35to44_control,int32,summarize
summary_mgra,Age_45to54_control,int32,summarize
summary_mgra,Age_55to64_control,int32,summarize
summary_mgra,Age_65to74_control,int32,summarize
summary_mgra,Age_75to84_control,int32,summarize
summary_mgra,Age_85Plus_control,int32,summarize
summary_mgra,Asian_control,int32,summarize
summary_mgra,Black_control,int32,summarize
summary_mgra,Hispanic_control,int32,summarize
summary_mgra,Other_control,int32,summarize
summary_mgra,TwoorMore_control,int32,summarize
summary_mgra,White_control,int32,summarize
summary_mgra,Total_HH_result,int64,summarize
summary_mgra,HHSize_1_result,int64,summarize
summary_mgra,HHSize_2_result,int64,summarize
summary_mgra,HHSize_3_result,int64,summarize
summary_mgra,HHSize_4Plus_result,int64,summarize
summary_mgra,HHInc_0to14999_result,int64,summarize
summary_mgra,HHInc_15000to29999_result,int64,summarize
summary_mgra,HHInc_30000to59999_result,int64,summarize
summary_mgra,HHInc_60000to99999_result,int64,summarize
summary_mgra,HHInc_100000to149999_result,int64,summarize
summary_mgra,HHInc_150000to199999_result,int64,summarize
summary_mgra,HHInc_200000Plus_result,int64,summarize
summary_mgra,HHWork_0_result,int64,summarize
summary_mgra,HHWork_1_result,int64,summarize
summary_mgra,HHWork_2_result,int64,summarize
summary_mgra,HHWork_3Plus_result,int64,summarize
summary_mgra,HHChild_0_result,int64,summarize
summary_mgra,HHChild_1Plus_result,int64,summarize
summary_mgra,Male_result,int64,summarize
summary_mgra,Female_result,int64,summarize
summary_mgra,Age_LT5_result,int64,summarize
summary_mgra,Age_5to9_result,int64,summarize
summary_mgra,Age_10to14_result,int64,summarize
summary_mgra,Age_15to17_result,int64,summarize
summary_mgra,Age_18to24_result,int64,summarize
summary_mgra,Age_25to34_result,int64,summarize
summary_mgra,Age_35to44_result,int64,summarize
summary_mgra,Age_45to54_result,int64,summarize
summary_mgra,Age_55to64_result,int64,summarize
summary_mgra,Age_65to74_result,int64,summarize
summary_mgra,Age_75to84_result,int64,summarize
summary_mgra,Age_85Plus_result,int64,summarize
summary_mgra,Asian_result,int64,summarize
summary_mgra,Black_result,int64,summarize
summary_mgra,Hispanic_result,int64,summarize
summary_mgra,Other_result,int64,summarize
summary_mgra,TwoorMore_result,int64,summarize
summary_mgra,White_result,int64,summarize
summary_mgra,Total_HH_diff,int64,summarize
summary_mgra,HHSize_1_diff,int64,summarize
summary_mgra,HHSize_2_diff,int64,summarize
summary_mgra,HHSize_3_diff,int64,summarize
summary_mgra,HHSize_4Plus_diff,int64,summarize
summary_mgra,HHInc_0to14999_diff,int64,summarize
summary_mgra,HHInc_15000to29999_diff,int64,summarize
summary_mgra,HHInc_30000to59999_diff,int64,summarize
summary_mgra,HHInc_60000to99999_diff,int64,summarize
summary_mgra,HHInc_100000to149999_diff,int64,summarize
summary_mgra,HHInc_150000to199999_diff,int64,summarize
summary_mgra,HHInc_200000Plus_diff,int64,summarize
summary_mgra,HHWork_0_diff,int64,summarize
summary_mgra,HHWork_1_diff,int64,summarize
summary_mgra,HHWork_2_diff,int64,summarize
summary_mgra,HHWork_3Plus_diff,int64,summarize
summary_mgra,HHChild_0_diff,int64,summarize
summary_mgra,HHChild_1Plus_diff,int64,summarize
summary_mgra,Male_diff,int64,summarize
summary_mgra,Female_diff,int64,summarize
summary_mgra,Age_LT5_diff,int64,summarize
summary_mgra,Age_5to9_diff,int64,summarize
summary_mgra,Age_10to14_diff,int64,summarize
summary_mgra,Age_15to17_diff,int64,summarize
summary_mgra,Age_18to24_diff,int64,summarize
summary_mgra,Age_25to34_diff,int64,summarize
summary_mgra,Age_35to44_diff,int64,summarize
summary_mgra,Age_45to54_diff,int64,summarize
summary_mgra,Age_55to64_diff,int64,summarize
summary_mgra,Age_65to74_diff,int64,summarize
summary_mgra,Age_75to84_diff,int64,summarize
summary_mgra,Age_85Plus_diff,int64,summarize
summary_mgra,Asian_diff,int64,summarize
summary_mgra,Black_diff,int64,summarize
summary_mgra,Hispanic_diff,int64,summarize
summary_mgra,Other_diff,int64,summarize
summary_mgra,TwoorMore_diff,int64,summarize
summary_mgra,White_diff,int64,summarize
summary_hh_weights,HHID,int64,summarize
summary_hh_weights,PUMA_balanced_weight,float64,summarize
summary_hh_weights,PUMA_integer_weight,int64,summarize
summary_hh_weights,mgra_balanced_weight,float64,summarize
summary_hh_weights,mgra_integer_weight,int32,summarize
