HHID,PUMA,NP,HHADJINC,ADJINC,WGTP,HHT,child_present,WIF,HUPAC,VEH,numWorkers,BLD
28468,7318,2,156165.0,1070512,10,1.0,0,2.0,4.0,2.0,2.0,2.0
28469,7322,3,108777.0,1070512,25,3.0,0,2.0,4.0,3.0,3.0,3.0
28470,7314,6,57565.649999999994,1070512,63,1.0,1,3.0,2.0,5.0,3.0,2.0
28471,7319,1,16047.3,1070512,11,6.0,0,,4.0,1.0,0.0,4.0
28472,7313,1,41033.7,1070512,17,6.0,0,,4.0,1.0,1.0,1.0
28473,7318,3,60312.0,1070512,28,3.0,1,1.0,2.0,1.0,1.0,2.0
28474,7321,2,10500.75,1070512,5,7.0,0,,4.0,2.0,1.0,5.0
28475,7309,3,301560.0,1070512,10,7.0,0,,4.0,3.0,3.0,5.0
28476,7302,4,31233.0,1070512,4,1.0,1,1.0,2.0,2.0,1.0,1.0
28477,7302,4,107700.0,1070512,5,2.0,1,3.0,2.0,3.0,3.0,2.0
28478,7312,4,208938.0,1070512,24,1.0,1,2.0,1.0,2.0,2.0,2.0
28479,7311,2,132471.0,1070512,104,1.0,0,2.0,4.0,2.0,2.0,7.0
28480,7307,2,46311.0,1070512,21,1.0,0,0.0,4.0,2.0,0.0,2.0
28481,7311,3,63543.0,1070512,15,1.0,1,1.0,1.0,3.0,1.0,2.0
28482,7316,1,104469.0,1070512,24,6.0,0,,4.0,1.0,1.0,7.0
28483,7306,2,21540.0,1070512,65,2.0,0,2.0,4.0,2.0,2.0,9.0
28484,7318,4,36725.7,1070512,55,1.0,1,1.0,2.0,2.0,1.0,7.0
28485,7310,6,253095.0,1070512,13,1.0,1,2.0,3.0,3.0,2.0,5.0
28486,7306,1,37587.299999999996,1070512,12,6.0,0,,4.0,1.0,0.0,2.0
28487,7306,1,23909.399999999998,1070512,11,4.0,0,,4.0,1.0,1.0,7.0
28488,7306,4,258156.9,1070512,18,1.0,1,3.0,1.0,3.0,2.0,2.0
28489,7319,4,161657.69999999998,1070512,32,1.0,0,2.0,4.0,3.0,2.0,6.0
28490,7320,4,113085.0,1070512,14,1.0,1,2.0,2.0,2.0,2.0,2.0
28491,7305,1,93591.3,1070512,21,4.0,0,,4.0,1.0,1.0,2.0
28492,7313,3,89391.0,1070512,6,1.0,0,3.0,4.0,3.0,3.0,5.0
28493,7304,4,212169.0,1070512,29,1.0,1,1.0,1.0,2.0,1.0,2.0
28494,7308,2,272481.0,1070512,8,1.0,0,1.0,4.0,2.0,1.0,2.0
28495,7314,2,0.0,1070512,19,5.0,0,,4.0,0.0,0.0,2.0
28496,7305,2,42003.0,1070512,24,2.0,0,1.0,4.0,2.0,1.0,2.0
28497,7309,1,129240.0,1070512,11,6.0,0,,4.0,1.0,1.0,3.0
28498,7319,4,178566.6,1070512,18,1.0,0,3.0,4.0,3.0,4.0,2.0
28499,7317,2,53850.0,1070512,25,7.0,0,,4.0,1.0,2.0,7.0
28500,7313,1,29079.0,1070512,19,6.0,0,,4.0,1.0,0.0,2.0
28501,7319,1,204953.1,1070512,12,4.0,0,,4.0,2.0,1.0,2.0
28502,7320,1,32310.0,1070512,19,6.0,0,,4.0,1.0,0.0,2.0
28503,7309,3,88637.09999999999,1070512,19,3.0,0,1.0,4.0,3.0,1.0,2.0
28504,7302,2,113085.0,1070512,4,1.0,0,1.0,4.0,2.0,1.0,1.0
28505,7315,3,83252.09999999999,1070512,12,3.0,0,1.0,4.0,2.0,1.0,3.0
28506,7308,3,91545.0,1070512,10,3.0,1,2.0,2.0,2.0,2.0,2.0
28507,7308,2,107484.59999999999,1070512,23,2.0,0,1.0,4.0,2.0,1.0,2.0
28508,7306,5,32633.1,1070512,14,1.0,1,1.0,2.0,3.0,1.0,2.0
28509,7304,2,173935.5,1070512,39,3.0,0,1.0,4.0,2.0,1.0,2.0
28510,7304,1,51696.0,1070512,10,4.0,0,,4.0,1.0,0.0,1.0
28511,7313,1,183090.0,1070512,31,6.0,0,,4.0,1.0,1.0,2.0
28512,7309,2,194290.8,1070512,27,1.0,0,2.0,4.0,4.0,2.0,2.0
28513,7321,5,32310.0,1070512,7,1.0,1,1.0,3.0,2.0,1.0,1.0
28514,7321,2,11523.9,1070512,8,1.0,0,0.0,4.0,1.0,0.0,6.0
28515,7315,1,72697.5,1070512,24,4.0,0,,4.0,2.0,1.0,2.0
28516,7317,2,36618.0,1070512,8,5.0,0,,4.0,1.0,2.0,9.0
28517,7322,4,36294.9,1070512,62,1.0,1,1.0,1.0,2.0,1.0,2.0
28518,7305,2,72482.09999999999,1070512,11,5.0,0,,4.0,2.0,2.0,7.0
28519,7301,1,10770.0,1070512,21,6.0,0,,4.0,1.0,0.0,5.0
28520,7319,4,112223.4,1070512,13,1.0,1,2.0,1.0,3.0,2.0,2.0
28521,7302,2,218307.9,1070512,23,1.0,0,0.0,4.0,2.0,0.0,2.0
28522,7305,8,89391.0,1070512,16,1.0,1,2.0,3.0,2.0,2.0,2.0
28523,7306,2,70005.0,1070512,13,7.0,0,,4.0,2.0,2.0,8.0
28524,7312,1,43069.229999999996,1070512,12,4.0,0,,4.0,1.0,0.0,7.0
28525,7302,1,107700.0,1070512,16,6.0,0,,4.0,1.0,1.0,2.0
28526,7308,2,83015.16,1070512,18,7.0,0,,4.0,2.0,1.0,3.0
28527,7308,1,11308.5,1070512,19,6.0,0,,4.0,0.0,0.0,2.0
28528,7322,2,173181.6,1070512,28,1.0,0,2.0,4.0,2.0,2.0,2.0
28529,7312,2,182228.4,1070512,14,1.0,0,2.0,4.0,3.0,2.0,2.0
28530,7316,1,16693.5,1070512,21,6.0,0,,4.0,0.0,0.0,9.0
28531,7303,4,116962.2,1070512,23,2.0,0,2.0,4.0,3.0,4.0,8.0
28532,7317,4,409367.7,1070512,18,3.0,0,2.0,4.0,4.0,3.0,6.0
28533,7319,3,134625.0,1070512,10,3.0,0,2.0,4.0,3.0,2.0,5.0
28534,7322,2,24124.8,1070512,10,1.0,0,0.0,4.0,0.0,0.0,6.0
28535,7317,1,52234.5,1070512,23,6.0,0,,4.0,1.0,0.0,2.0
28536,7314,2,105438.3,1070512,25,1.0,0,2.0,4.0,2.0,2.0,8.0
28537,7307,2,67743.3,1070512,18,1.0,0,0.0,4.0,3.0,0.0,2.0
