mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
370,19,19,3,3,3,0,3,4,7,2,1,8,4,0,0,0,18,0,0,20,5,7,4,2,18,14,4,0,0,18,0,0,1,6,0,6,0,5,0,0,0,18
371,7,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,1,0,0,6,1,2,0,0,3,2,1,0,0,3,0,0,0,2,0,1,0,0,0,0,0,3
372,24,30,3,0,11,2,0,2,12,9,4,8,0,3,0,0,15,0,3,36,6,8,4,5,23,16,7,0,0,23,0,0,2,4,5,5,4,3,0,0,0,23
373,29,51,2,2,7,6,6,8,8,9,4,13,14,1,4,0,18,0,2,56,7,13,5,8,33,9,13,9,2,26,7,0,1,3,3,6,6,14,0,0,0,33
374,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
375,57,54,12,12,16,8,3,11,17,19,3,2,3,5,4,3,55,2,4,43,1,7,6,17,31,14,12,5,0,24,7,7,2,12,5,3,1,1,0,0,0,31
376,4,2,0,0,0,0,0,1,0,0,0,2,2,1,0,0,1,0,0,5,2,2,0,0,4,3,0,1,0,3,1,0,0,0,0,2,0,2,0,0,0,4
377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
378,72,100,7,9,14,8,1,24,19,13,16,33,15,13,5,9,146,0,5,7,6,13,8,23,50,20,17,13,0,29,21,7,12,13,9,4,3,2,0,0,0,50
379,5,5,0,1,1,1,1,2,2,0,2,0,0,0,0,0,1,0,0,9,0,4,0,0,4,0,3,1,0,3,1,0,2,1,1,0,0,0,0,0,0,4
380,133,109,15,17,18,4,39,38,39,16,24,20,12,0,31,13,50,11,18,119,22,31,17,27,97,33,39,25,0,68,29,4,4,17,24,20,9,19,0,0,0,97
381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,50,88,4,3,3,6,11,38,23,18,12,10,7,3,13,3,19,1,9,93,29,29,8,7,73,36,26,10,1,68,5,2,4,13,8,17,8,21,0,0,0,73
383,25,50,6,3,3,1,4,10,10,13,11,10,0,4,0,0,68,0,0,7,3,10,4,6,23,8,7,7,1,14,9,4,6,10,1,1,1,0,0,0,0,23
384,52,40,3,6,9,1,5,5,8,6,20,11,15,3,4,0,21,0,3,64,11,15,7,8,41,24,11,6,0,41,0,0,0,6,6,6,7,16,0,0,0,41
385,110,143,17,22,11,11,29,50,21,25,36,14,11,6,69,48,93,0,12,31,16,34,15,33,98,24,35,30,9,66,32,3,7,31,28,14,12,3,0,0,0,98
386,3,9,1,1,0,0,0,1,0,4,1,4,0,0,0,0,5,0,0,7,0,4,0,0,4,3,1,0,0,4,0,0,0,2,0,2,0,0,0,0,0,4
387,36,27,4,0,0,0,3,19,18,2,4,4,6,3,6,0,22,2,3,30,26,14,3,0,43,24,14,5,0,43,0,3,4,11,9,3,4,9,0,0,0,43
388,33,27,0,2,5,4,7,9,13,5,4,5,6,0,6,0,6,0,3,45,5,8,3,7,23,5,9,8,1,14,9,0,2,5,4,5,0,7,0,0,0,23
389,48,20,0,1,1,0,6,15,13,5,1,13,10,3,0,0,20,3,0,45,25,16,3,2,46,25,15,6,0,46,0,3,3,4,10,11,6,9,0,0,0,46
390,45,70,5,3,0,2,4,25,21,29,16,6,0,4,0,8,46,0,11,50,34,26,5,4,69,17,24,22,6,57,12,0,12,15,18,14,6,4,0,0,0,69
391,564,428,32,18,18,13,38,337,254,39,83,87,52,21,86,42,90,11,97,666,233,212,59,42,546,166,209,134,37,531,15,24,31,99,101,119,85,87,0,0,0,546
