mgra,Male,Female,Age_LT5,Age_5to9,Age_10to14,Age_15to17,Age_18to24,Age_25to34,Age_35to44,Age_45to54,Age_55to64,Age_65to74,Age_75to84,Age_85Plus,Asian,Black,Hispanic,Other_v2,TwoorMore,White,HHSize_1,HHSize_2,HHSize_3,HHSize_4Plus,Total_HH,HHWork_0,HHWork_1,HHWork_2,HHWork_3Plus,HHChild_0,HHChild_1Plus,HHInc_0to14999,HHInc_15000to29999,HHInc_30000to59999,HHInc_60000to99999,HHInc_100000to149999,HHInc_150000to199999,HHInc_200000Plus,gq_college_pop,gq_mil_pop,gq_other_pop,Total_HH_GQ
317,11,15,0,0,3,0,6,6,5,5,0,1,0,0,0,0,16,0,1,9,0,2,2,5,9,4,3,2,0,7,2,0,0,5,1,3,0,0,0,0,0,9
318,53,64,8,11,11,6,4,15,13,13,14,18,3,1,5,1,67,1,10,33,4,8,6,15,33,9,13,8,3,26,7,0,3,11,4,4,3,8,0,0,0,33
319,73,37,5,5,7,0,15,40,19,9,7,3,0,0,0,9,38,0,1,62,27,23,7,3,60,17,25,13,5,53,7,0,7,27,11,9,3,3,0,0,0,60
320,3,12,0,2,1,0,3,2,3,3,0,1,0,0,0,0,15,0,0,0,0,3,0,1,4,3,1,0,0,3,1,2,1,0,1,0,0,0,0,0,0,4
321,25,33,0,1,4,5,2,3,8,14,10,10,1,0,3,0,7,0,1,47,7,9,4,3,23,18,3,2,0,23,0,0,0,0,6,6,3,8,0,0,0,23
322,29,34,7,3,4,3,2,23,6,5,10,0,0,0,0,0,41,1,2,19,5,12,4,2,23,13,6,4,0,21,2,1,4,5,5,4,1,3,0,0,0,23
323,120,148,11,5,9,9,21,56,57,42,23,15,16,4,41,22,98,1,18,88,39,49,18,17,123,55,45,20,3,111,12,2,12,27,24,28,22,8,0,0,0,123
324,103,122,8,7,15,10,18,24,22,30,21,26,31,13,42,5,28,3,6,141,14,28,15,22,79,40,28,10,1,72,7,0,5,8,11,22,10,23,0,0,0,79
325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,69
326,38,55,4,1,8,2,3,2,16,17,11,11,10,8,6,0,7,0,4,76,12,15,6,6,39,22,12,5,0,39,0,0,2,2,4,8,4,19,0,0,0,39
327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
328,84,107,9,8,19,5,16,24,27,20,31,19,10,3,12,4,164,0,0,11,3,16,7,28,54,22,21,11,0,42,12,0,5,19,14,14,2,0,0,0,0,54
329,76,108,22,13,6,7,14,17,25,12,21,14,24,9,4,1,174,0,0,5,9,22,12,20,63,18,27,13,5,46,17,22,11,8,8,7,4,3,0,0,0,63
330,69,72,10,13,9,3,18,31,12,25,6,3,8,3,19,17,56,0,12,37,12,19,11,12,54,28,18,8,0,47,7,7,4,14,7,10,2,10,0,0,0,54
331,20,22,0,2,2,1,4,7,10,2,4,8,2,0,2,0,15,0,2,23,8,6,3,2,19,14,5,0,0,19,0,2,2,2,6,2,1,4,0,0,0,19
332,4,1,0,0,0,0,0,0,1,0,2,2,0,0,0,1,1,1,0,2,0,1,0,1,2,1,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,2
333,75,101,6,15,11,10,10,30,19,10,36,17,8,4,23,0,132,0,6,15,4,15,11,23,53,22,19,11,1,43,10,4,11,14,9,9,1,5,0,0,0,53
334,51,65,16,1,6,5,14,17,11,16,10,17,3,0,5,0,95,0,0,16,5,12,5,14,36,14,14,8,0,28,8,5,6,4,15,3,0,3,0,0,0,36
335,174,188,21,19,11,10,43,87,44,24,37,16,49,1,43,13,131,6,26,143,39,60,23,29,151,63,56,27,5,137,14,12,22,42,30,16,11,18,0,0,0,151
336,64,45,6,4,6,5,10,13,17,10,19,12,3,4,0,8,82,0,4,15,9,11,8,13,41,14,17,9,1,32,9,6,11,14,4,6,0,0,0,0,0,41
337,21,32,3,9,8,7,0,3,6,7,3,1,6,0,20,0,7,0,0,26,3,6,3,6,18,4,6,5,3,7,11,0,2,2,1,2,2,9,0,0,0,18
338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,18,10,0,0,0,2,2,9,6,1,4,4,0,0,0,0,6,0,0,22,6,6,2,0,14,9,4,1,0,14,0,1,0,0,5,3,2,3,0,0,0,14
340,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
341,23,26,2,1,1,1,4,5,8,8,6,9,4,0,33,4,9,0,0,3,3,0,0,11,14,3,7,3,1,10,4,0,1,1,6,2,2,2,0,0,0,14
342,81,106,0,0,0,0,9,28,29,21,29,32,29,10,18,6,16,0,3,144,59,39,9,5,112,36,41,29,6,111,1,13,3,19,17,23,9,28,0,0,0,112
