HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP,RAC1P,HISP,isWorker,pop_race,NAICS2,WKW,OCCP,SCHL,isinlaborforce,SOCP,SOC2
1276,1,7310,22,0,5.0,1,4.0,1.0,30.0,1,2,1,Hispanic,MIL,1.0,9825.0,19.0,0,553010,55
1277,1,7319,69,0,,2,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
1278,1,7315,19,15,,2,6.0,4.0,,1,1,0,White,0,,,18.0,0,0,0
1279,1,7316,28,0,5.0,1,4.0,1.0,82.0,1,1,1,White,MIL,1.0,6835.0,16.0,0,475032,47
1280,1,7320,31,0,,1,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
1281,1,7304,77,0,,2,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1282,1,7315,19,15,,2,6.0,4.0,,1,2,0,Hispanic,0,,,19.0,0,0,0
1283,1,7310,22,0,5.0,2,4.0,1.0,85.0,1,23,1,Hispanic,MIL,1.0,3645.0,19.0,0,319092,31
1284,1,7301,20,0,5.0,1,4.0,1.0,53.0,1,1,1,White,MIL,1.0,5040.0,17.0,0,432099,43
1285,1,7317,64,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1286,1,7310,22,15,5.0,2,4.0,1.0,50.0,9,1,1,Two or More,MIL,1.0,5740.0,16.0,0,436014,43
1287,1,7315,19,15,4.0,1,1.0,4.0,30.0,1,1,1,White,71,1.0,3960.0,19.0,1,33909X,33
1288,1,7317,18,15,1.0,1,6.0,4.0,,1,1,0,White,722,,4055.0,18.0,0,353023,35
1289,1,7310,21,0,5.0,1,4.0,1.0,60.0,1,1,1,White,MIL,3.0,9825.0,16.0,0,553010,55
1290,1,7322,56,0,,1,6.0,2.0,,1,1,0,White,0,,,17.0,0,0,0
1291,1,7322,56,0,,1,6.0,2.0,,7,1,0,Other,0,,,18.0,0,0,0
1292,1,7316,22,15,4.0,1,6.0,4.0,20.0,1,2,0,Hispanic,61,2.0,9620.0,16.0,0,537062,53
1293,1,7310,21,0,5.0,1,4.0,1.0,62.0,2,1,1,Black,MIL,1.0,4020.0,16.0,0,352010,35
1294,1,7315,68,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,16.0,0,0,0
1295,1,7316,21,0,5.0,1,4.0,1.0,62.0,2,1,1,Black,MIL,1.0,4020.0,16.0,0,352010,35
1296,1,7321,31,0,1.0,1,6.0,4.0,40.0,1,1,0,White,23,3.0,6410.0,16.0,0,472140,47
1297,1,7318,17,13,,1,6.0,4.0,,1,2,0,Hispanic,0,,,13.0,0,0,0
1298,1,7322,54,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,11.0,0,0,0
1299,1,7313,65,0,,2,6.0,4.0,,9,1,0,Two or More,0,,,23.0,0,0,0
1300,1,7303,51,0,,1,6.0,4.0,,1,1,0,White,0,,,18.0,0,0,0
1301,1,7313,31,0,,2,6.0,4.0,,9,1,0,Two or More,0,,,14.0,0,0,0
1302,1,7321,73,0,,2,6.0,4.0,,1,2,0,Hispanic,0,,,17.0,0,0,0
1303,1,7301,21,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,7210.0,16.0,0,493031,49
1304,1,7310,19,15,1.0,1,6.0,4.0,28.0,6,1,0,Asian,44,5.0,4720.0,19.0,0,412010,41
1305,1,7316,58,0,5.0,1,4.0,1.0,40.0,1,1,1,White,MIL,1.0,2360.0,23.0,0,2530XX,25
1306,1,7319,36,0,1.0,1,6.0,4.0,40.0,1,2,0,Hispanic,23,4.0,6442.0,11.0,0,472152,47
1307,1,7319,69,0,1.0,2,1.0,4.0,50.0,1,2,1,Hispanic,62,1.0,4220.0,1.0,1,37201X,37
1308,1,7301,56,0,,1,6.0,2.0,,1,1,0,White,0,,,19.0,0,0,0
1309,1,7310,20,0,5.0,1,4.0,1.0,40.0,1,16,1,Hispanic,MIL,1.0,1555.0,16.0,0,17302X,17
1310,1,7313,63,0,,2,6.0,4.0,,1,24,0,Hispanic,0,,,19.0,0,0,0
1311,1,7302,48,0,1.0,1,1.0,4.0,40.0,1,1,1,White,721,1.0,3930.0,19.0,1,339030,33
1312,1,7301,18,0,5.0,1,4.0,1.0,99.0,1,2,1,Hispanic,MIL,5.0,9825.0,19.0,0,553010,55
1313,1,7301,63,0,,1,6.0,4.0,,2,1,0,Black,0,,,19.0,0,0,0
1314,1,7321,38,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,17.0,0,0,0
1315,1,7306,36,0,,2,6.0,4.0,,1,1,0,White,0,,,12.0,0,0,0
1316,1,7322,51,0,,1,6.0,4.0,,1,1,0,White,0,,,17.0,0,0,0
1317,1,7314,24,0,1.0,1,6.0,4.0,20.0,1,2,0,Hispanic,56,4.0,3930.0,16.0,0,339030,33
1318,1,7316,21,0,5.0,1,4.0,1.0,70.0,9,2,1,Hispanic,MIL,1.0,9825.0,16.0,0,553010,55
1319,1,7315,19,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1320,1,7301,19,0,5.0,1,4.0,1.0,50.0,2,1,1,Black,MIL,1.0,7220.0,16.0,0,493040,49
1321,1,7319,35,0,,2,6.0,4.0,,1,1,0,White,0,,,1.0,0,0,0
1322,1,7315,20,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1323,1,7317,67,0,,2,6.0,4.0,,1,1,0,White,0,,,24.0,0,0,0
1324,1,7315,20,15,1.0,2,2.0,4.0,8.0,1,1,1,White,722,6.0,4110.0,19.0,1,353031,35
1325,1,7314,33,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1326,1,7315,19,15,,2,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1327,1,7315,20,15,,1,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1328,1,7313,34,0,5.0,1,6.0,4.0,38.0,1,1,0,White,92,1.0,5860.0,16.0,0,439061,43
1329,1,7301,22,0,5.0,1,4.0,1.0,55.0,1,19,1,Hispanic,MIL,1.0,9830.0,16.0,0,559830,55
1330,1,7301,19,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,1555.0,16.0,0,17302X,17
1331,1,7319,49,0,6.0,1,6.0,4.0,45.0,1,2,0,Hispanic,54,1.0,2170.0,21.0,0,232093,23
1332,1,7321,26,0,5.0,1,4.0,1.0,80.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1333,1,7322,55,0,,1,6.0,4.0,,1,1,0,White,0,,,17.0,0,0,0
1334,1,7314,86,0,,1,6.0,4.0,,1,1,0,White,0,,,21.0,0,0,0
1335,1,7306,30,0,,1,6.0,4.0,,6,1,0,Asian,0,,,16.0,0,0,0
1336,1,7301,20,0,5.0,1,4.0,1.0,50.0,1,1,1,White,MIL,1.0,7210.0,16.0,0,493031,49
1337,1,7322,51,0,,1,6.0,4.0,,1,1,0,White,0,,,17.0,0,0,0
1338,1,7315,18,15,1.0,2,6.0,4.0,,1,1,0,White,722,,4150.0,16.0,0,359031,35
1339,1,7310,19,15,,2,6.0,4.0,,1,1,0,White,0,,,19.0,0,0,0
1340,1,7319,49,0,2.0,1,1.0,4.0,40.0,1,2,1,Hispanic,81,1.0,2040.0,21.0,1,212011,21
1341,1,7316,31,0,,2,6.0,4.0,,2,1,0,Black,0,,,16.0,0,0,0
1342,1,7310,18,0,5.0,1,4.0,1.0,45.0,2,2,1,Hispanic,MIL,6.0,630.0,16.0,0,131070,13
1343,1,7309,94,0,,2,6.0,4.0,,6,1,0,Asian,0,,,16.0,0,0,0
1344,1,7310,21,15,1.0,2,1.0,4.0,20.0,1,1,1,White,61,1.0,2002.0,19.0,1,211012,21
1345,1,7322,41,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1346,1,7312,19,0,5.0,1,4.0,1.0,66.0,1,1,1,White,MIL,1.0,1108.0,16.0,0,151299,15
1347,1,7322,33,15,,1,6.0,4.0,,1,2,0,Hispanic,0,,,19.0,0,0,0
1348,1,7302,17,13,,1,6.0,4.0,,1,1,0,White,0,,,13.0,0,0,0
1349,1,7316,53,0,,1,6.0,4.0,,2,1,0,Black,0,,,17.0,0,0,0
1350,1,7301,20,0,5.0,1,4.0,1.0,55.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1351,1,7310,22,0,5.0,1,4.0,1.0,30.0,1,1,1,White,MIL,1.0,9830.0,16.0,0,559830,55
1352,1,7322,35,0,,1,6.0,4.0,,1,1,0,White,0,,,16.0,0,0,0
1353,1,7314,48,0,1.0,1,1.0,4.0,40.0,1,1,1,White,721,1.0,3930.0,19.0,1,339030,33
1354,1,7322,46,0,,1,6.0,4.0,,1,2,0,Hispanic,0,,,17.0,0,0,0
1355,1,7312,21,0,5.0,1,4.0,1.0,70.0,1,1,1,White,MIL,1.0,9825.0,16.0,0,553010,55
1356,1,7301,19,0,5.0,1,4.0,1.0,72.0,1,5,1,Hispanic,MIL,3.0,9825.0,16.0,0,553010,55
1357,1,7312,24,0,5.0,1,6.0,2.0,,3,1,0,Other,92,,3930.0,16.0,0,339030,33
