HHID,SPORDER,PUMA,AGEP,SCHG,COW,SEX,ESR,MIL,WKHP
26,1,7302,71,,,2,6.0,4.0,
26,2,7302,68,,1.0,1,6.0,4.0,
27,1,7308,46,,5.0,2,1.0,4.0,40.0
27,2,7308,56,,5.0,1,1.0,4.0,40.0
27,3,7308,21,15.0,,1,6.0,3.0,
27,4,7308,15,13.0,,2,,,
27,5,7308,21,15.0,1.0,1,1.0,4.0,18.0
28,1,7301,33,,1.0,2,1.0,4.0,40.0
28,2,7301,7,4.0,,2,,,
28,3,7301,5,2.0,,2,,,
28,4,7301,3,,,1,,,
29,1,7317,64,,1.0,1,1.0,4.0,40.0
30,1,7305,84,,,2,6.0,4.0,
30,2,7305,87,,,1,6.0,2.0,
31,1,7312,79,,,1,6.0,2.0,
32,1,7310,22,15.0,1.0,2,6.0,4.0,30.0
32,2,7310,23,,1.0,1,1.0,2.0,50.0
32,3,7310,2,,,1,,,
33,1,7314,31,,7.0,2,1.0,4.0,40.0
33,2,7314,34,,7.0,1,1.0,4.0,50.0
33,3,7314,21,,1.0,2,1.0,4.0,40.0
33,4,7314,21,,1.0,2,1.0,4.0,40.0
34,1,7319,67,,,1,6.0,4.0,
34,2,7319,67,,7.0,2,1.0,4.0,24.0
34,3,7319,27,,1.0,1,1.0,4.0,40.0
34,4,7319,27,,1.0,1,1.0,4.0,40.0
35,1,7313,48,,1.0,1,1.0,4.0,50.0
35,2,7313,41,15.0,1.0,2,6.0,4.0,
35,3,7313,7,2.0,,2,,,
35,4,7313,2,,,1,,,
35,5,7313,2,,,2,,,
35,6,7313,2,,,1,,,
36,1,7322,42,,2.0,1,1.0,4.0,40.0
37,1,7318,59,,,2,6.0,4.0,
38,1,7306,53,,1.0,1,1.0,4.0,40.0
38,2,7306,50,,,2,6.0,4.0,
38,3,7306,27,,2.0,2,1.0,4.0,40.0
38,4,7306,21,15.0,1.0,2,1.0,4.0,25.0
38,5,7306,16,14.0,,1,6.0,,
38,6,7306,9,6.0,,1,,,
38,7,7306,6,3.0,,2,,,
38,8,7306,4,,,2,,,
38,9,7306,30,,1.0,1,1.0,4.0,40.0
39,1,7314,47,,6.0,2,1.0,4.0,12.0
39,2,7314,46,,9.0,1,3.0,4.0,
39,3,7314,9,6.0,,2,,,
39,4,7314,5,1.0,,1,,,
40,1,7314,25,,1.0,1,1.0,4.0,28.0
40,2,7314,65,,,2,6.0,4.0,
41,1,7320,58,,,2,6.0,4.0,
41,2,7320,60,,1.0,1,1.0,4.0,30.0
42,1,7310,74,,4.0,2,1.0,4.0,40.0
43,1,7313,61,,1.0,1,1.0,4.0,40.0
43,2,7313,68,,,2,6.0,2.0,
44,1,7310,86,,,1,6.0,4.0,
44,2,7310,82,,,2,6.0,4.0,
45,1,7319,69,,1.0,1,1.0,4.0,40.0
45,2,7319,50,,7.0,2,1.0,4.0,62.0
45,3,7319,15,12.0,,1,,,
46,1,7301,84,,,2,6.0,4.0,
47,1,7313,75,,2.0,2,1.0,4.0,25.0
48,1,7313,48,,5.0,1,1.0,2.0,40.0
48,2,7313,41,,3.0,2,1.0,4.0,30.0
48,3,7313,11,7.0,,1,,,
48,4,7313,7,4.0,,2,,,
48,5,7313,73,,,2,6.0,4.0,
49,1,7309,62,,2.0,2,1.0,4.0,36.0
49,2,7309,62,,4.0,1,6.0,4.0,40.0
49,3,7309,29,,3.0,2,1.0,4.0,40.0
49,4,7309,10,6.0,,2,,,
50,1,7318,65,,1.0,2,6.0,4.0,16.0
50,2,7318,76,,,1,6.0,2.0,
51,1,7304,73,15.0,,2,6.0,4.0,
51,2,7304,51,15.0,6.0,1,1.0,4.0,40.0
52,1,7314,74,,,2,6.0,4.0,
52,2,7314,76,,6.0,1,6.0,4.0,20.0
53,1,7317,37,,6.0,2,1.0,4.0,35.0
53,2,7317,47,,6.0,1,1.0,4.0,30.0
53,3,7317,8,4.0,,1,,,
53,4,7317,5,1.0,,1,,,
54,1,7322,34,16.0,5.0,1,6.0,2.0,
55,1,7312,39,,1.0,1,1.0,4.0,40.0
55,2,7312,40,,1.0,2,1.0,4.0,20.0
55,3,7312,16,12.0,,2,6.0,,
55,4,7312,12,9.0,,2,,,
56,1,7302,51,,1.0,1,1.0,4.0,40.0
57,1,7314,73,,,2,6.0,4.0,
58,1,7305,78,,,1,6.0,4.0,
59,1,7301,79,,,2,6.0,4.0,
60,1,7306,58,,1.0,2,1.0,4.0,40.0
60,2,7306,55,,1.0,1,1.0,2.0,40.0
61,1,7314,51,,6.0,1,1.0,4.0,50.0
62,1,7320,60,,,2,6.0,4.0,
62,2,7320,21,15.0,,1,6.0,4.0,
63,1,7303,44,,1.0,1,1.0,4.0,40.0
63,2,7303,47,,1.0,2,1.0,4.0,40.0
64,1,7311,39,,2.0,1,1.0,4.0,38.0
64,2,7311,37,,1.0,2,1.0,4.0,60.0
64,3,7311,6,2.0,,1,,,
65,1,7313,44,,1.0,2,1.0,4.0,40.0
65,2,7313,17,14.0,,1,6.0,4.0,
66,1,7302,35,,3.0,1,1.0,2.0,40.0
67,1,7321,60,,1.0,1,1.0,4.0,40.0
67,2,7321,19,15.0,1.0,1,1.0,4.0,35.0
67,3,7321,21,,1.0,1,1.0,4.0,40.0
68,1,7303,84,,,2,6.0,4.0,
69,1,7307,51,,6.0,2,1.0,4.0,5.0
69,2,7307,55,,7.0,1,1.0,4.0,40.0
70,1,7304,73,,,1,6.0,2.0,
70,2,7304,70,,,2,6.0,4.0,
71,1,7301,32,15.0,1.0,2,1.0,4.0,24.0
71,2,7301,33,15.0,5.0,1,4.0,1.0,80.0
71,3,7301,5,1.0,,1,,,
71,4,7301,3,,,2,,,
71,5,7301,0,,,1,,,
72,1,7316,26,,1.0,2,1.0,4.0,40.0
72,2,7316,28,,1.0,1,1.0,4.0,21.0
73,1,7314,40,,1.0,2,1.0,4.0,40.0
73,2,7314,52,,1.0,1,1.0,4.0,40.0
73,3,7314,1,,,2,,,
73,4,7314,35,,1.0,1,1.0,4.0,60.0
73,5,7314,67,,1.0,1,6.0,2.0,
73,6,7314,34,,2.0,2,1.0,4.0,40.0
74,1,7316,29,,1.0,2,1.0,4.0,40.0
74,2,7316,31,,1.0,1,1.0,4.0,40.0
75,1,7314,31,,1.0,1,1.0,4.0,35.0
75,2,7314,39,,7.0,2,1.0,4.0,40.0
76,1,7319,66,,,1,6.0,4.0,
77,1,7319,58,,5.0,1,6.0,2.0,
77,2,7319,68,,1.0,2,1.0,4.0,40.0
78,1,7309,26,15.0,1.0,1,1.0,2.0,40.0
78,2,7309,24,15.0,1.0,2,1.0,4.0,40.0
78,3,7309,2,,,1,,,
78,4,7309,5,,,2,,,
79,1,7310,78,,,1,6.0,2.0,
79,2,7310,69,,,2,6.0,4.0,
80,1,7317,32,,3.0,1,1.0,4.0,40.0
80,2,7317,28,,6.0,1,1.0,4.0,50.0
81,1,7311,33,,1.0,1,1.0,4.0,40.0
81,2,7311,33,,1.0,2,1.0,4.0,40.0
81,3,7311,1,,,1,,,
82,1,7316,53,,1.0,1,1.0,4.0,40.0
82,2,7316,49,,1.0,1,1.0,4.0,24.0
83,1,7309,41,,1.0,2,1.0,4.0,40.0
84,1,7308,55,15.0,1.0,1,1.0,4.0,40.0
84,2,7308,50,,1.0,2,1.0,4.0,36.0
84,3,7308,23,,1.0,2,1.0,4.0,30.0
84,4,7308,19,15.0,3.0,2,1.0,4.0,10.0
84,5,7308,17,14.0,,1,6.0,4.0,
85,1,7306,34,15.0,6.0,2,1.0,4.0,20.0
85,2,7306,34,,6.0,1,1.0,4.0,25.0
85,3,7306,8,5.0,,2,,,
85,4,7306,59,,6.0,1,1.0,4.0,40.0
85,5,7306,49,,,2,6.0,4.0,
86,1,7308,70,,1.0,1,6.0,4.0,30.0
86,2,7308,61,,1.0,2,6.0,4.0,
87,1,7307,61,,,1,6.0,2.0,
88,1,7317,33,,1.0,2,1.0,4.0,40.0
88,2,7317,26,15.0,1.0,2,6.0,4.0,
88,3,7317,53,,,2,6.0,4.0,
88,4,7317,73,,,2,6.0,4.0,
89,1,7322,66,,,2,6.0,4.0,
89,2,7322,55,,1.0,1,1.0,4.0,40.0
90,1,7310,23,,1.0,1,1.0,4.0,25.0
91,1,7314,40,,5.0,1,4.0,1.0,55.0
91,2,7314,40,,3.0,2,1.0,4.0,40.0
91,3,7314,17,14.0,1.0,2,1.0,4.0,16.0
91,4,7314,11,8.0,,2,,,
91,5,7314,7,3.0,,1,,,
91,6,7314,2,,,2,,,
92,1,7315,67,,,1,6.0,4.0,
92,2,7315,65,,3.0,2,6.0,4.0,
93,1,7317,52,,1.0,2,1.0,4.0,40.0
94,1,7316,26,,3.0,2,1.0,4.0,50.0
95,1,7310,52,,1.0,1,1.0,4.0,50.0
95,2,7310,42,,6.0,2,1.0,4.0,50.0
95,3,7310,14,10.0,,1,,,
95,4,7310,11,7.0,,2,,,
96,1,7317,45,,1.0,1,1.0,4.0,40.0
97,1,7315,56,,1.0,1,1.0,4.0,40.0
97,2,7315,41,,1.0,2,1.0,4.0,25.0
97,3,7315,8,5.0,,1,,,
97,4,7315,82,,,1,6.0,2.0,
98,1,7309,48,,7.0,1,1.0,4.0,40.0
99,1,7306,28,,8.0,2,1.0,4.0,37.0
99,2,7306,32,,1.0,1,1.0,4.0,40.0
99,3,7306,8,5.0,,2,,,
99,4,7306,59,,1.0,2,1.0,4.0,31.0
100,1,7317,61,,6.0,1,1.0,4.0,50.0
101,1,7316,76,,,1,6.0,4.0,
101,2,7316,74,,,2,6.0,4.0,
102,1,7309,60,,5.0,2,6.0,2.0,
103,1,7315,34,,2.0,1,1.0,2.0,25.0
103,2,7315,36,,1.0,2,1.0,4.0,50.0
103,3,7315,23,,6.0,2,3.0,2.0,25.0
104,1,7309,57,,2.0,1,1.0,4.0,48.0
104,2,7309,52,,1.0,2,1.0,4.0,30.0
104,3,7309,19,15.0,1.0,1,1.0,4.0,18.0
104,4,7309,16,13.0,,1,6.0,,
105,1,7303,52,,1.0,2,6.0,4.0,
105,2,7303,56,,1.0,1,1.0,4.0,50.0
105,3,7303,30,15.0,1.0,2,1.0,4.0,30.0
106,1,7301,75,,,1,6.0,2.0,
106,2,7301,20,15.0,9.0,1,3.0,4.0,
107,1,7302,73,,6.0,1,1.0,4.0,60.0
107,2,7302,63,,1.0,2,1.0,4.0,40.0
107,3,7302,28,,,1,6.0,4.0,
108,1,7308,51,,1.0,1,1.0,4.0,40.0
109,1,7316,32,,1.0,2,1.0,4.0,40.0
110,1,7304,82,,,1,6.0,4.0,
110,2,7304,81,,,2,6.0,4.0,
111,1,7322,69,,3.0,1,6.0,4.0,
111,2,7322,68,,3.0,2,6.0,4.0,
111,3,7322,66,,,1,6.0,4.0,
111,4,7322,64,,1.0,2,1.0,4.0,25.0
111,5,7322,59,,1.0,2,1.0,4.0,8.0
111,6,7322,41,,3.0,1,1.0,4.0,40.0
111,7,7322,17,13.0,,2,6.0,4.0,
112,1,7304,60,,1.0,2,1.0,4.0,40.0
112,2,7304,53,,7.0,1,1.0,2.0,60.0
113,1,7309,48,,6.0,1,2.0,4.0,30.0
113,2,7309,45,15.0,1.0,2,6.0,4.0,40.0
113,3,7309,22,,1.0,1,1.0,4.0,30.0
114,1,7320,38,,5.0,2,1.0,4.0,40.0
114,2,7320,42,15.0,5.0,1,6.0,2.0,
114,3,7320,13,11.0,,1,,,
114,4,7320,10,7.0,,2,,,
114,5,7320,9,6.0,,1,,,
114,6,7320,62,,,2,6.0,4.0,
114,7,7320,62,,1.0,1,1.0,4.0,30.0
115,1,7307,76,,,1,6.0,2.0,
116,1,7315,86,,2.0,1,1.0,2.0,2.0
116,2,7315,75,,,2,6.0,4.0,
117,1,7301,25,,3.0,2,1.0,4.0,40.0
118,1,7321,54,,9.0,1,3.0,4.0,
118,2,7321,51,,9.0,2,3.0,4.0,
118,3,7321,25,,4.0,1,1.0,4.0,40.0
118,4,7321,20,15.0,1.0,2,1.0,4.0,25.0
118,5,7321,18,14.0,9.0,1,3.0,4.0,
119,1,7313,60,,,1,6.0,4.0,
120,1,7309,54,,1.0,2,1.0,4.0,45.0
120,2,7309,54,,1.0,1,1.0,4.0,40.0
121,1,7310,53,,,2,6.0,4.0,
121,2,7310,53,,1.0,1,1.0,4.0,40.0
121,3,7310,15,11.0,,2,,,
121,4,7310,5,1.0,,2,,,
122,1,7319,63,,1.0,2,6.0,4.0,
122,2,7319,63,,6.0,1,1.0,4.0,6.0
123,1,7314,64,,1.0,1,1.0,4.0,15.0
123,2,7314,40,,1.0,1,1.0,4.0,24.0
123,3,7314,85,,,2,6.0,4.0,
124,1,7306,67,,1.0,1,1.0,4.0,40.0
124,2,7306,65,,3.0,2,6.0,4.0,
125,1,7310,30,,6.0,2,1.0,4.0,45.0
126,1,7314,51,,1.0,2,1.0,4.0,40.0
126,2,7314,53,,1.0,1,1.0,4.0,40.0
126,3,7314,28,,6.0,1,1.0,4.0,20.0
127,1,7313,73,,,2,6.0,4.0,
128,1,7306,48,,6.0,2,6.0,4.0,18.0
128,2,7306,22,15.0,2.0,2,1.0,4.0,40.0
128,3,7306,62,,1.0,1,1.0,4.0,40.0
129,1,7321,53,,1.0,2,1.0,4.0,40.0
129,2,7321,55,,3.0,1,1.0,4.0,43.0
129,3,7321,26,15.0,1.0,1,1.0,4.0,5.0
130,1,7302,36,,1.0,2,1.0,4.0,40.0
130,2,7302,5,2.0,,1,,,
130,3,7302,15,12.0,,1,,,
130,4,7302,10,7.0,,2,,,
130,5,7302,39,,2.0,1,1.0,4.0,40.0
131,1,7314,34,16.0,5.0,1,4.0,1.0,45.0
131,2,7314,38,,,2,6.0,4.0,
131,3,7314,5,2.0,,1,,,
131,4,7314,3,,,1,,,
131,5,7314,0,,,1,,,
132,1,7322,62,,,2,6.0,4.0,
132,2,7322,59,,1.0,1,1.0,4.0,67.0
132,3,7322,30,,,2,6.0,4.0,
132,4,7322,16,13.0,,2,6.0,,
133,1,7314,55,,7.0,1,1.0,4.0,55.0
133,2,7314,49,,1.0,1,1.0,4.0,40.0
134,1,7316,32,16.0,1.0,2,6.0,4.0,
135,1,7310,50,,1.0,1,1.0,2.0,40.0
135,2,7310,49,,2.0,2,6.0,4.0,
135,3,7310,16,12.0,,1,6.0,,
135,4,7310,12,8.0,,1,,,
136,1,7309,47,,1.0,1,3.0,4.0,40.0
136,2,7309,50,,1.0,2,6.0,4.0,5.0
136,3,7309,12,8.0,,1,,,
136,4,7309,9,5.0,,2,,,
137,1,7309,43,,1.0,2,1.0,4.0,40.0
137,2,7309,47,,1.0,1,1.0,4.0,40.0
137,3,7309,15,12.0,,2,,,
138,1,7304,58,,1.0,1,1.0,4.0,40.0
138,2,7304,57,,3.0,2,1.0,4.0,35.0
139,1,7317,68,,,1,6.0,2.0,
140,1,7301,24,,5.0,1,1.0,2.0,60.0
140,2,7301,20,,1.0,2,3.0,4.0,40.0
140,3,7301,23,,1.0,1,1.0,4.0,44.0
141,1,7310,71,,1.0,1,6.0,4.0,20.0
141,2,7310,43,,1.0,1,1.0,4.0,50.0
142,1,7311,49,,3.0,2,1.0,4.0,52.0
142,2,7311,49,,3.0,1,1.0,4.0,50.0
142,3,7311,16,12.0,,1,6.0,,
142,4,7311,14,10.0,,1,,,
142,5,7311,14,10.0,,1,,,
143,1,7311,48,,6.0,2,1.0,4.0,30.0
143,2,7311,49,,5.0,1,4.0,1.0,50.0
143,3,7311,8,,,1,,,
143,4,7311,5,,,1,,,
143,5,7311,19,,2.0,2,1.0,4.0,45.0
144,1,7305,27,,1.0,2,1.0,4.0,38.0
144,2,7305,24,,1.0,1,1.0,4.0,40.0
145,1,7303,65,,1.0,1,1.0,4.0,40.0
145,2,7303,56,,1.0,2,1.0,4.0,40.0
146,1,7319,71,,3.0,1,6.0,4.0,
146,2,7319,69,,,2,6.0,4.0,
146,3,7319,35,,7.0,1,1.0,4.0,45.0
146,4,7319,59,,1.0,2,3.0,4.0,
146,5,7319,7,4.0,,1,,,
146,6,7319,3,,,1,,,
146,7,7319,33,,2.0,2,1.0,4.0,30.0
147,1,7303,46,,1.0,1,1.0,4.0,40.0
147,2,7303,49,,1.0,2,1.0,4.0,40.0
147,3,7303,21,,,1,6.0,4.0,
147,4,7303,0,,,2,,,
147,5,7303,20,15.0,,2,6.0,4.0,
148,1,7306,55,,1.0,1,1.0,4.0,40.0
148,2,7306,49,,1.0,2,1.0,4.0,36.0
148,3,7306,24,,1.0,1,1.0,4.0,40.0
148,4,7306,17,12.0,,2,6.0,4.0,
148,5,7306,14,11.0,,2,,,
149,1,7315,67,,6.0,1,1.0,4.0,40.0
150,1,7313,79,,1.0,2,6.0,4.0,
150,2,7313,55,,,1,6.0,4.0,
151,1,7319,35,,3.0,2,1.0,2.0,33.0
151,2,7319,44,,1.0,1,1.0,4.0,8.0
151,3,7319,5,1.0,,1,,,
151,4,7319,4,,,1,,,
151,5,7319,71,,,2,6.0,4.0,
152,1,7316,41,,1.0,1,1.0,4.0,25.0
153,1,7312,74,,,2,6.0,4.0,
154,1,7310,42,,1.0,1,1.0,2.0,60.0
154,2,7310,38,,1.0,2,1.0,4.0,60.0
154,3,7310,14,11.0,,2,,,
154,4,7310,11,8.0,,1,,,
155,1,7309,81,,2.0,2,6.0,4.0,
156,1,7319,36,,1.0,1,1.0,4.0,40.0
156,2,7319,34,,1.0,2,1.0,4.0,50.0
156,3,7319,8,5.0,,2,,,
157,1,7310,27,,1.0,2,1.0,4.0,36.0
157,2,7310,33,,1.0,1,1.0,4.0,40.0
158,1,7302,76,,,1,6.0,3.0,
159,1,7316,30,,1.0,2,1.0,4.0,45.0
160,1,7310,54,,6.0,1,1.0,4.0,40.0
160,2,7310,55,,1.0,2,1.0,4.0,40.0
160,3,7310,16,13.0,,1,6.0,,
160,4,7310,13,10.0,,1,,,
161,1,7317,47,,1.0,1,1.0,4.0,40.0
162,1,7322,46,,1.0,2,1.0,4.0,30.0
162,2,7322,41,,1.0,1,1.0,4.0,50.0
163,1,7312,20,15.0,1.0,2,6.0,4.0,10.0
163,2,7312,20,15.0,1.0,2,6.0,4.0,40.0
163,3,7312,20,15.0,1.0,2,1.0,4.0,8.0
163,4,7312,20,15.0,1.0,2,6.0,4.0,6.0
163,5,7312,20,,1.0,2,1.0,4.0,38.0
163,6,7312,19,15.0,6.0,2,6.0,4.0,
164,1,7302,71,,,1,6.0,2.0,
164,2,7302,65,,,2,6.0,4.0,
164,3,7302,94,,,1,6.0,4.0,
165,1,7312,28,,1.0,2,1.0,4.0,40.0
165,2,7312,30,,1.0,1,1.0,4.0,40.0
166,1,7314,94,,,2,6.0,4.0,
167,1,7316,79,,,2,6.0,4.0,
168,1,7314,62,,2.0,2,1.0,4.0,45.0
169,1,7319,48,,5.0,1,1.0,2.0,40.0
169,2,7319,48,,3.0,2,2.0,4.0,20.0
169,3,7319,31,,1.0,1,1.0,4.0,40.0
170,1,7310,79,,,2,6.0,4.0,
170,2,7310,84,,,1,6.0,4.0,
171,1,7310,61,,3.0,1,1.0,4.0,40.0
171,2,7310,61,,3.0,2,1.0,4.0,40.0
171,3,7310,31,15.0,1.0,2,1.0,4.0,30.0
172,1,7312,33,,,2,6.0,4.0,
172,2,7312,37,,2.0,1,1.0,4.0,40.0
172,3,7312,5,2.0,,2,,,
172,4,7312,2,,,2,,,
173,1,7308,31,,,1,6.0,2.0,
173,2,7308,31,,1.0,2,1.0,4.0,40.0
173,3,7308,2,,,1,,,
174,1,7318,28,,2.0,2,1.0,4.0,36.0
174,2,7318,29,,2.0,1,1.0,4.0,60.0
174,3,7318,26,,2.0,2,1.0,4.0,40.0
175,1,7312,40,,1.0,1,1.0,4.0,40.0
176,1,7312,60,,1.0,1,1.0,4.0,60.0
176,2,7312,48,,1.0,2,1.0,4.0,40.0
176,3,7312,22,16.0,,2,6.0,4.0,
176,4,7312,16,12.0,,2,6.0,,
176,5,7312,12,9.0,,1,,,
176,6,7312,68,,,2,6.0,4.0,
176,7,7312,82,,1.0,2,6.0,4.0,
176,8,7312,73,,,1,6.0,2.0,
177,1,7305,77,,6.0,1,1.0,4.0,40.0
178,1,7316,82,,,1,6.0,4.0,
178,2,7316,72,,,2,6.0,4.0,
179,1,7314,87,,,2,6.0,4.0,
180,1,7320,67,,5.0,1,1.0,2.0,40.0
180,2,7320,59,,1.0,2,1.0,4.0,40.0
180,3,7320,25,16.0,1.0,1,1.0,4.0,40.0
180,4,7320,20,15.0,1.0,2,1.0,4.0,16.0
181,1,7316,43,,1.0,1,1.0,4.0,48.0
182,1,7307,72,,,2,6.0,4.0,
183,1,7302,60,,,2,6.0,4.0,
183,2,7302,60,,,1,6.0,2.0,
184,1,7320,38,15.0,1.0,1,1.0,4.0,40.0
184,2,7320,34,,,2,6.0,4.0,
184,3,7320,5,1.0,,1,,,
184,4,7320,3,,,1,,,
184,5,7320,1,,,2,,,
185,1,7310,63,,1.0,1,6.0,4.0,
185,2,7310,53,,1.0,2,1.0,4.0,50.0
185,3,7310,23,15.0,,1,6.0,4.0,
186,1,7315,51,,2.0,1,1.0,4.0,50.0
186,2,7315,51,,1.0,2,1.0,4.0,50.0
186,3,7315,20,,1.0,1,1.0,4.0,32.0
186,4,7315,15,12.0,,2,,,
187,1,7306,94,,,2,6.0,4.0,
187,2,7306,94,,,2,6.0,4.0,
188,1,7318,54,,3.0,2,1.0,4.0,30.0
188,2,7318,56,,1.0,1,1.0,4.0,40.0
188,3,7318,19,15.0,3.0,2,1.0,4.0,20.0
189,1,7305,85,,,2,6.0,4.0,
190,1,7304,94,,,1,6.0,2.0,
191,1,7317,27,16.0,1.0,2,3.0,4.0,36.0
192,1,7313,89,,,2,6.0,4.0,
192,2,7313,87,,,1,6.0,2.0,
193,1,7310,63,,7.0,1,6.0,4.0,
193,2,7310,63,,3.0,2,6.0,4.0,
194,1,7306,23,15.0,1.0,1,1.0,3.0,40.0
195,1,7308,60,16.0,2.0,2,1.0,4.0,25.0
196,1,7320,61,,4.0,1,6.0,2.0,
197,1,7303,48,,1.0,1,1.0,4.0,40.0
197,2,7303,14,10.0,,2,,,
197,3,7303,1,,,2,,,
198,1,7310,37,,1.0,1,1.0,4.0,40.0
199,1,7309,66,,7.0,1,6.0,4.0,
199,2,7309,57,,7.0,2,6.0,4.0,
200,1,7313,41,,2.0,2,1.0,4.0,40.0
200,2,7313,39,,2.0,1,1.0,4.0,40.0
200,3,7313,5,2.0,,1,,,
200,4,7313,4,1.0,,1,,,
201,1,7313,55,,3.0,1,1.0,4.0,40.0
201,2,7313,53,16.0,2.0,2,1.0,4.0,40.0
201,3,7313,15,11.0,,2,,,
202,1,7310,34,,3.0,2,1.0,4.0,24.0
202,2,7310,48,,7.0,1,1.0,4.0,40.0
202,3,7310,1,,,1,,,
203,1,7322,53,,1.0,1,1.0,2.0,45.0
203,2,7322,14,11.0,,1,,,
203,3,7322,10,7.0,,1,,,
203,4,7322,5,1.0,,1,,,
204,1,7318,87,,,2,6.0,4.0,
204,2,7318,86,,,1,6.0,2.0,
205,1,7301,64,,6.0,1,1.0,4.0,25.0
205,2,7301,52,15.0,1.0,2,6.0,4.0,
205,3,7301,13,10.0,,2,,,
206,1,7316,53,,6.0,2,1.0,4.0,40.0
206,2,7316,52,,6.0,1,1.0,2.0,60.0
206,3,7316,18,,1.0,2,1.0,4.0,1.0
206,4,7316,16,12.0,1.0,1,2.0,,8.0
207,1,7316,71,,7.0,2,6.0,4.0,
207,2,7316,68,,7.0,1,6.0,4.0,
208,1,7317,55,,1.0,2,3.0,4.0,
208,2,7317,60,,6.0,1,1.0,4.0,20.0
208,3,7317,18,15.0,1.0,1,1.0,4.0,10.0
208,4,7317,34,,1.0,1,1.0,4.0,40.0
208,5,7317,31,,1.0,1,1.0,4.0,20.0
209,1,7304,70,,6.0,2,6.0,4.0,5.0
209,2,7304,34,,1.0,1,1.0,4.0,50.0
209,3,7304,34,,1.0,1,1.0,4.0,40.0
210,1,7310,38,,1.0,1,1.0,4.0,40.0
210,2,7310,35,,1.0,2,6.0,4.0,
210,3,7310,7,4.0,,1,,,
210,4,7310,5,2.0,,1,,,
211,1,7310,63,,5.0,1,1.0,2.0,40.0
211,2,7310,60,,5.0,2,6.0,4.0,
212,1,7313,60,,6.0,1,6.0,4.0,
212,2,7313,61,,3.0,2,1.0,4.0,41.0
212,3,7313,23,,1.0,1,1.0,4.0,40.0
212,4,7313,18,15.0,,1,6.0,4.0,
213,1,7316,27,,1.0,2,1.0,4.0,40.0
213,2,7316,8,5.0,,1,,,
214,1,7319,54,,5.0,1,1.0,4.0,40.0
214,2,7319,52,,6.0,2,1.0,4.0,30.0
214,3,7319,15,12.0,,2,,,
